Year,ICPSR State Code,Alphanumeric State Code,,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2008,47,34,North Carolina,66.1%,65.5%,60.7%,"4,354,571","4,310,789","6,584,302","7,096,503",5.9%,"39,482","109,678","3,409","96,026","133,483"
2008,36,35,North Dakota,63.6%,62.7%,61.7%,"321,133","316,621","504,762","512,768",1.3%,"1,452",0,0,"1,452","11,179"
2008,24,36,Ohio,67.8%,66.9%,65.1%,"5,773,777","5,698,260","8,513,079","8,757,453",2.2%,"51,686",0,0,"51,686","174,703"
2008,53,37,Oklahoma,56.3%,55.8%,52.8%,"1,474,694","1,462,661","2,619,121","2,770,219",4.0%,"25,864","27,940","3,073","41,371","57,046"
2008,72,38,Oregon,68.3%,67.7%,62.7%,"1,845,251","1,827,864","2,700,327","2,916,246",6.9%,"14,167",0,0,"14,167","63,480"
2008,14,39,Pennsylvania,64.2%,63.6%,61.3%,"6,071,357","6,012,692","9,457,942","9,813,664",3.1%,"49,215",0,0,"49,215","203,791"
2008,5,40,Rhode Island,62.3%,61.8%,57.1%,"475,428","471,766","763,608","825,786",7.0%,"4,045",0,0,"4,045","13,827"
2008,48,41,South Carolina,58.2%,58.0%,55.3%,"1,927,153","1,920,969","3,311,044","3,473,488",3.4%,"24,326","41,254","1,947","45,927","72,241"
2008,37,42,South Dakota,65.6%,64.7%,63.4%,"387,449","381,975","590,720","602,539",1.2%,"3,342",0,"2,720","4,702","20,144"
2008,54,43,Tennessee,57.4%,57.0%,54.5%,"2,618,238","2,599,749","4,563,192","4,771,926",3.1%,"27,228","58,109","10,578","61,572","127,930"
2008,49,44,Texas,,54.1%,45.5%,,"8,077,795","14,929,810","17,756,112",13.5%,"172,506","427,080","102,921","437,507","549,216"
2008,67,45,Utah,57.1%,56.0%,51.8%,"971,185","952,370","1,700,286","1,840,087",7.2%,"6,552",0,0,"6,552","31,783"
2008,6,46,Vermont,67.7%,67.3%,66.0%,"326,822","325,046","482,677","492,610",2.0%,0,0,0,0,"10,546"
2008,40,47,Virginia,67.6%,67.0%,61.8%,"3,753,059","3,723,260","5,555,415","6,022,123",6.6%,"38,276","53,614","4,471","67,319","124,689"
2008,73,48,Washington,67.3%,66.6%,60.3%,"3,071,587","3,036,878","4,561,163","5,032,960",7.8%,"17,926","113,134","11,768","80,377","138,296"
2008,56,49,West Virginia,51.2%,49.9%,49.1%,"731,691","713,362","1,430,439","1,453,045",0.8%,"6,059","8,283","2,005","11,203","33,788"
2008,25,50,Wisconsin,72.7%,72.4%,69.3%,"2,997,086","2,983,417","4,120,694","4,306,876",3.0%,"23,379","50,418","18,105","57,641","78,721"
2008,68,51,Wyoming,63.1%,62.8%,60.9%,"256,035","254,658","405,732","418,040",1.7%,"2,084","5,438",727,"5,167","13,832"
2006,0,0,United States,41.3%,40.4%,37.2%,"85,769,132","83,815,592","207,643,594","225,485,399",8.6%,"1,566,526","2,418,574","587,305","3,363,118","4,417,527"
2006,41,1,Alabama,,37.5%,35.9%,,"1,250,401","3,338,467","3,513,952",2.3%,"28,241","55,766","7,795","63,919",
2006,81,2,Alaska,51.2%,51.0%,47.8%,"238,307","237,322","465,169","492,452",4.5%,"5,069","6,095",973,"9,090",
2006,61,3,Arizona,39.6%,38.9%,33.3%,"1,553,032","1,526,782","3,923,786","4,490,327",12.6%,"35,892","73,265","6,213","78,738",
2006,42,4,Arkansas,38.9%,38.7%,36.4%,"780,409","774,680","2,004,193","2,130,080",3.3%,"13,729","31,508","16,666","46,149",
2006,71,5,California,41.2%,40.2%,32.2%,"8,899,059","8,679,416","21,582,217","26,739,781",18.9%,"175,512",0,"111,744","287,256",
2006,62,6,Colorado,48.1%,47.3%,43.1%,"1,586,105","1,558,405","3,297,308","3,569,901",8.0%,"22,481",0,"8,196","30,677",
2006,1,7,Connecticut,47.7%,46.6%,42.5%,"1,162,391","1,134,780","2,437,559","2,683,538",7.9%,"20,566",0,"2,571","23,137",
2006,11,8,Delaware,42.9%,42.3%,39.0%,"258,053","254,099","601,341","659,410",5.3%,"7,206","16,958",600,"16,285",
2006,55,9,District of Columbia,28.7%,28.3%,25.5%,"122,356","120,620","426,612","466,827",9.7%,0,0,0,0,
2006,43,10,Florida,40.1%,39.6%,34.3%,"4,884,544","4,829,270","12,187,858","14,211,669",11.8%,"92,969","272,977","4,785","234,243",
2006,44,11,Georgia,35.1%,34.7%,30.7%,"2,143,845","2,122,258","6,115,331","6,799,654",7.4%,"52,792","422,790","22,851","287,038",
2006,82,12,Hawaii,38.4%,37.9%,34.6%,"348,988","344,315","908,925","1,012,975",8.1%,"5,967",0,0,"5,967",
2006,63,13,Idaho,46.2%,45.4%,42.0%,"458,927","450,832","993,010","1,072,895",4.4%,"7,124","48,609","2,482","33,911",
2006,21,14,Illinois,41.4%,40.2%,36.3%,"3,586,292","3,486,671","8,667,453","9,483,856",9.2%,"45,106",0,0,"45,106",
2006,22,15,Indiana,37.7%,36.6%,35.2%,"1,719,351","1,666,922","4,559,294","4,743,856",3.1%,"26,091",0,0,"26,091",
2006,31,16,Iowa,49.2%,48.1%,46.3%,"1,071,509","1,048,033","2,178,322","2,267,991",2.8%,"8,875","22,622","3,560","23,746",
2006,32,17,Kansas,44.3%,43.6%,41.1%,"864,083","849,700","1,948,850","2,062,668",4.7%,"8,816","15,518","4,666","21,241",
2006,51,18,Kentucky,44.2%,40.4%,39.0%,"1,370,062","1,253,526","3,100,828","3,218,000",1.9%,"20,000","41,162","10,162","50,743",
2006,45,19,Louisiana,31.4%,29.7%,28.3%,"954,896","902,498","3,043,573","3,239,317",2.0%,"37,012","38,057","24,072","80,113",
2006,2,20,Maine,,54.2%,53.3%,,"550,865","1,016,287","1,037,200",1.7%,0,0,0,0,
2006,52,21,Maryland,47.2%,46.7%,42.2%,"1,809,237","1,788,316","3,833,349","4,261,205",7.9%,"22,945","75,698","14,271","75,065",
2006,3,22,Massachusetts,49.3%,48.8%,44.4%,"2,243,835","2,219,779","4,552,794","4,970,780",8.7%,"11,032",0,0,"11,032",
2006,23,23,Michigan,52.8%,52.1%,49.9%,"3,852,008","3,801,256","7,292,624","7,532,918",3.6%,"51,577",0,0,"51,577",
2006,33,24,Minnesota,60.5%,60.1%,56.4%,"2,217,552","2,202,987","3,667,707","3,896,561",4.2%,"9,108","127,289","4,007","76,760",
2006,46,25,Mississippi,,29.4%,28.5%,,"610,921","2,077,420","2,154,112",1.3%,"21,068","24,107","1,970","35,092",
2006,34,26,Missouri,51.2%,50.0%,48.1%,"2,178,278","2,128,459","4,253,541","4,427,266",2.2%,"30,167","54,963","18,374","76,023",
2006,64,27,Montana,57.1%,56.4%,55.6%,"411,061","406,505","720,447","734,669",1.0%,"3,572",0,0,"3,572",
2006,35,28,Nebraska,48.8%,47.6%,45.1%,"610,499","596,087","1,251,027","1,325,932",4.3%,"4,407","18,731",662,"14,435",
2006,65,29,Nevada,37.1%,36.9%,31.1%,"586,274","582,572","1,579,222","1,907,976",14.4%,"12,901","13,208","3,518","23,023",
2006,4,30,New Hampshire,42.9%,41.4%,39.9%,"418,550","403,531","975,281","1,006,234",3.4%,"2,805",0,0,"2,805",
2006,12,31,New Jersey,40.6%,39.5%,34.1%,"2,315,643","2,250,070","5,701,033","6,565,183",12.0%,"27,371","132,636","13,874","107,563",
2006,66,32,New Mexico,43.1%,42.5%,38.6%,"568,597","561,084","1,320,285","1,464,560",8.0%,"6,639","16,493","2,831","17,717",
2006,13,33,New York,36.5%,34.9%,30.3%,"4,703,830","4,490,053","12,878,632","14,665,626",12.4%,"63,315",0,"53,533","116,848",
2006,47,34,North Carolina,32.5%,31.0%,28.7%,"2,036,451","1,940,808","6,264,630","6,799,585",5.8%,"37,460","110,419","3,101","95,771",
2006,36,35,North Dakota,45.4%,44.9%,44.1%,"220,479","218,152","486,142","503,647",1.5%,"1,363",0,0,"1,363",
2006,24,36,Ohio,49.5%,47.5%,46.3%,"4,184,072","4,022,754","8,461,211","8,687,609",2.2%,"49,166",0,0,"49,166",
2006,53,37,Oklahoma,,36.4%,34.3%,,"926,462","2,547,224","2,709,819",3.9%,"26,243","27,415","4,329","44,280",
2006,72,38,Oregon,53.2%,52.5%,48.4%,"1,399,650","1,379,475","2,628,937","2,829,482",7.3%,"13,707",0,0,"13,707",
2006,14,39,Pennsylvania,,44.1%,42.6%,,"4,096,077","9,283,762","9,680,466",3.0%,"44,397",0,0,"44,397",
2006,5,40,Rhode Island,52.1%,51.0%,46.7%,"392,882","384,993","754,219","824,887",8.1%,"3,996",0,0,"3,996",
2006,48,41,South Carolina,35.4%,34.6%,33.1%,"1,117,311","1,091,952","3,152,046","3,332,190",3.2%,"23,616","38,353","3,072","45,865",
2006,37,42,South Dakota,58.8%,57.8%,56.4%,"341,105","335,508","580,592","589,178",1.4%,"3,359",0,"2,444","5,803",
2006,54,43,Tennessee,42.1%,41.4%,39.5%,"1,868,363","1,833,695","4,433,921","4,641,909",3.1%,"25,745","52,558","8,630","60,654",
2006,49,44,Texas,,30.9%,25.8%,,"4,399,068","14,255,313","17,029,802",13.4%,"172,116","431,967","101,916","490,016",
2006,67,45,Utah,35.0%,34.3%,31.8%,"582,561","571,252","1,664,323","1,752,158",7.1%,"6,430",0,0,"6,430",
2006,6,46,Vermont,55.0%,54.9%,53.8%,"263,025","262,726","478,247","487,141",2.0%,0,0,0,0,
2006,40,47,Virginia,44.5%,44.0%,40.6%,"2,398,589","2,370,445","5,385,522","5,867,219",6.7%,"36,688","48,144","4,499","65,259",
2006,73,48,Washington,47.3%,47.3%,42.7%,"2,085,074","2,083,734","4,403,981","4,861,001",8.0%,"17,561","108,076","11,568","83,167",
2006,56,49,West Virginia,33.8%,32.8%,32.3%,"473,014","459,884","1,401,490","1,439,052",0.7%,"5,733","7,668","1,416","10,983",
2006,25,50,Wisconsin,53.7%,53.2%,50.8%,"2,183,155","2,161,700","4,064,432","4,240,696",2.9%,"23,431","55,806","15,907","67,241",
2006,68,51,Wyoming,51.8%,51.1%,49.4%,"196,217","193,892","379,127","400,187",2.0%,"2,114","5,225",609,"5,336",
2004,0,0,United States,60.7%,60.1%,55.4%,"123,535,883","122,294,978","203,483,455","220,336,019",8.2%,"1,490,169","2,387,283","474,632","3,158,443","3,862,836"
2004,41,1,Alabama,57.4%,57.2%,55.2%,"1,890,317","1,883,415","3,292,608","3,427,542",1.9%,"26,521","36,795","7,745","52,664",
2004,81,2,Alaska,69.6%,69.1%,65.2%,"314,502","312,598","452,124","476,378",4.0%,"4,515","5,547",951,"8,240",
2004,61,3,Arizona,54.8%,54.1%,47.0%,"2,038,069","2,012,585","3,717,055","4,215,706",11.5%,"31,631","69,343","5,671","71,974",
2004,42,4,Arkansas,54.4%,53.6%,51.0%,"1,070,573","1,054,945","1,969,208","2,072,986",2.8%,"13,477","29,128","14,844","42,885",
2004,71,5,California,59.6%,58.8%,47.1%,"12,589,367","12,421,852","21,132,533","26,246,548",18.8%,"166,053",0,"110,261","276,314",
2004,62,6,Colorado,67.3%,66.7%,61.2%,"2,148,036","2,129,630","3,192,647","3,443,164",7.5%,"19,756",0,"7,383","27,139",
2004,1,7,Connecticut,66.2%,65.0%,59.7%,"1,607,808","1,578,769","2,429,634","2,652,587",7.3%,"20,018",0,"2,552","22,570",
2004,11,8,Delaware,64.5%,64.2%,59.4%,"377,407","375,190","584,817","635,370",4.7%,"6,973","18,725",539,"16,875",
2004,55,9,District of Columbia,54.9%,54.3%,48.9%,"230,105","227,586","419,142","458,758",10.0%,0,0,0,0,
2004,43,10,Florida,64.7%,64.4%,56.1%,"7,640,319","7,609,810","11,811,921","13,643,828",11.2%,"84,733","281,170","4,888","230,206",
2004,44,11,Georgia,56.4%,56.2%,50.0%,"3,317,336","3,301,875","5,878,186","6,499,325",6.8%,"48,625","419,350","23,344","281,644",
2004,82,12,Hawaii,48.5%,48.2%,44.1%,"431,662","429,013","889,540","982,882",7.9%,"5,946",0,0,"5,946",
2004,63,13,Idaho,64.8%,63.2%,58.7%,"612,786","598,376","946,160","1,016,255",4.1%,"6,312","44,580","2,370","30,972",
2004,21,14,Illinois,62.4%,61.5%,55.7%,"5,350,493","5,274,322","8,576,696","9,391,420",9.0%,"44,379",0,0,"44,379",
2004,22,15,Indiana,55.8%,54.8%,53.0%,"2,512,142","2,468,002","4,504,260","4,660,157",2.7%,"23,760",0,0,"23,760",
2004,31,16,Iowa,70.6%,69.9%,67.4%,"1,521,966","1,506,908","2,156,389","2,239,979",2.6%,"8,611","22,832","3,317","23,344",
2004,32,17,Kansas,62.9%,61.6%,58.3%,"1,213,108","1,187,756","1,928,764","2,032,763",4.3%,"9,152","14,309","4,525","20,832",
2004,51,18,Kentucky,59.4%,58.7%,56.9%,"1,816,867","1,795,860","3,057,741","3,157,464",1.7%,"17,763","33,286","8,006","42,412",
2004,45,19,Louisiana,61.5%,61.1%,58.5%,"1,956,590","1,943,106","3,182,762","3,379,937",1.8%,"36,745","38,470","24,387","80,367",
2004,2,20,Maine,74.9%,73.8%,72.6%,"751,519","740,752","1,003,792","1,022,043",1.6%,0,0,0,0,
2004,52,21,Maryland,63.1%,62.9%,57.2%,"2,395,791","2,386,705","3,797,264","4,179,376",7.2%,"23,727","76,676","14,351","76,416",
2004,3,22,Massachusetts,64.6%,64.2%,58.7%,"2,927,455","2,912,388","4,533,859","4,935,787",8.4%,"10,365",0,0,"10,365",
2004,23,23,Michigan,67.1%,66.6%,63.9%,"4,875,692","4,839,252","7,263,024","7,508,568",3.4%,"48,591",0,0,"48,591",
2004,33,24,Minnesota,78.8%,78.4%,73.9%,"2,842,912","2,828,387","3,609,185","3,819,020",3.9%,"8,613","114,226","3,872","69,598",
2004,46,25,Mississippi,,55.7%,54.2%,,"1,152,365","2,068,766","2,133,681",1.2%,"20,429","21,324","1,979","33,070",
2004,34,26,Missouri,66.1%,65.3%,62.9%,"2,764,635","2,731,364","4,180,960","4,339,414",1.9%,"30,775","53,832","17,400","75,091",
2004,64,27,Montana,65.2%,64.4%,63.4%,"456,096","450,445","699,114","711,858",1.0%,"3,800",0,0,"3,800",
2004,35,28,Nebraska,64.1%,62.9%,59.8%,"792,906","778,186","1,236,522","1,305,430",4.0%,"4,042","17,994",805,"13,844",
2004,65,29,Nevada,55.4%,55.3%,47.3%,"831,563","829,587","1,501,437","1,776,962",13.2%,"10,971","12,521","3,610","20,842",
2004,4,30,New Hampshire,71.5%,70.9%,68.4%,"683,672","677,738","956,422","984,422",3.2%,"2,441",0,0,"2,441",
2004,12,31,New Jersey,64.2%,63.8%,55.2%,"3,638,153","3,611,691","5,663,201","6,513,394",11.7%,"28,107","143,315","14,180","113,945",
2004,66,32,New Mexico,60.4%,59.0%,53.9%,"775,301","756,304","1,282,767","1,411,419",7.4%,"6,341","17,725","2,676","17,880",
2004,13,33,New York,58.5%,58.0%,50.2%,"7,448,266","7,391,249","12,738,056","14,598,898",12.6%,"64,596",0,"54,524","119,120",
2004,47,34,North Carolina,58.7%,57.8%,53.9%,"3,552,449","3,501,007","6,055,771","6,505,150",5.3%,"34,917","111,537","2,882","93,568",
2004,36,35,North Dakota,65.5%,64.8%,63.8%,"316,049","312,833","482,722","496,479",1.3%,"1,266",0,0,"1,266",
2004,24,36,Ohio,67.9%,66.8%,65.1%,"5,722,443","5,627,908","8,427,696","8,624,277",2.0%,"44,770",0,0,"44,770",
2004,53,37,Oklahoma,,58.3%,55.3%,,"1,463,758","2,510,823","2,649,994",3.4%,"24,767","28,435","4,329","43,314",
2004,72,38,Oregon,72.6%,72.0%,66.8%,"1,851,671","1,836,782","2,550,887","2,736,472",6.8%,"13,219",0,0,"13,219",
2004,14,39,Pennsylvania,,62.6%,60.6%,,"5,769,590","9,221,962","9,554,349",2.7%,"40,692",0,0,"40,692",
2004,5,40,Rhode Island,58.9%,58.5%,52.9%,"440,228","437,134","747,046","827,513",7.6%,"3,701","26,085",368,"17,112",
2004,48,41,South Carolina,53.2%,53.0%,50.7%,"1,626,720","1,617,730","3,055,098","3,198,733",2.7%,"24,173","38,856","2,217","45,818",
2004,37,42,South Dakota,69.4%,68.2%,66.9%,"394,930","388,215","569,161","576,472",1.4%,"3,101",0,0,"3,101",
2004,54,43,Tennessee,56.8%,56.3%,54.1%,"2,456,610","2,437,319","4,328,446","4,496,929",2.6%,"25,834","47,392","8,410","57,940",
2004,49,44,Texas,,53.7%,45.4%,,"7,410,765","13,796,256","16,284,659",12.5%,"169,110","428,773","102,072","485,569",
2004,67,45,Utah,59.8%,58.9%,54.7%,"942,010","927,844","1,574,463","1,664,066",6.8%,"5,802",0,0,"5,802",
2004,6,46,Vermont,66.7%,66.3%,65.0%,"314,220","312,309","470,754","480,053",2.1%,0,0,0,0,
2004,40,47,Virginia,61.1%,60.6%,56.2%,"3,223,156","3,198,367","5,277,156","5,699,175",6.2%,"35,472","43,470","4,392","61,599",
2004,73,48,Washington,67.5%,66.9%,60.8%,"2,883,499","2,859,084","4,272,914","4,683,829",7.4%,"16,559","125,222",120,"79,290",
2004,56,49,West Virginia,55.1%,54.1%,53.4%,"769,645","755,887","1,396,545","1,425,689",0.6%,"4,980","6,977","1,216","9,685",
2004,25,50,Wisconsin,75.3%,74.8%,71.6%,"3,016,288","2,997,007","4,006,948","4,172,068",2.7%,"22,905","54,970","13,883","64,273",
2004,68,51,Wyoming,66.3%,65.7%,63.7%,"245,789","243,428","370,785","386,796",1.7%,"1,923","4,418",563,"4,695",
2002,0,0,United States,40.5%,39.5%,36.3%,"80,295,249","78,381,943","198,381,939","215,461,549",8.0%,"1,456,927","2,451,708","485,282","3,168,063","3,308,145"
2002,41,1,Alabama,,41.5%,40.4%,,"1,364,602","3,285,643","3,371,451",1.8%,"28,440","39,713","5,309","53,606",
2002,81,2,Alaska,54.5%,54.2%,51.0%,"232,852","231,484","427,337","457,154",3.8%,"4,431","5,229",900,"7,946",
2002,61,3,Arizona,36.7%,35.9%,30.7%,"1,255,615","1,226,111","3,419,481","3,998,148",11.1%,"30,741","66,485","4,587","68,571",
2002,42,4,Arkansas,41.7%,41.3%,39.7%,"814,176","805,696","1,951,568","2,031,787",2.6%,"12,378","27,377","12,128","38,195",
2002,71,5,California,37.3%,36.1%,29.0%,"7,738,821","7,476,351","20,733,192","25,622,609",18.8%,"163,361",0,"113,185","276,546",
2002,62,6,Colorado,46.6%,46.3%,42.0%,"1,424,029","1,416,093","3,056,465","3,362,098",7.2%,"19,085",0,"6,215","25,300",
2002,1,7,Connecticut,45.1%,42.3%,38.9%,"1,090,756","1,022,942","2,418,037","2,617,814",7.1%,"20,525",0,"2,186","22,711",
2002,11,8,Delaware,,41.1%,37.9%,,"232,314","564,938","612,919",4.4%,"6,879","20,201",551,"17,531",
2002,55,9,District of Columbia,,30.1%,27.1%,,"124,228","412,062","458,631",10.0%,0,0,0,0,
2002,43,10,Florida,45.9%,45.6%,39.5%,"5,143,674","5,100,581","11,194,391","13,005,435",10.9%,"80,352","291,315","5,223","231,233",
2002,44,11,Georgia,,35.4%,32.2%,,"2,031,604","5,731,983","6,287,215",6.5%,"47,004","367,349","20,822","251,501",
2002,82,12,Hawaii,44.2%,43.8%,40.2%,"385,462","382,110","872,992","950,520",8.0%,"5,635",0,0,"5,635",
2002,63,13,Idaho,45.2%,44.7%,42.0%,"416,533","411,477","921,256","970,916",4.0%,"5,825","31,361","1,961","23,467",
2002,21,14,Illinois,42.8%,41.4%,37.7%,"3,651,808","3,538,883","8,540,965","9,302,571",8.9%,"43,186",0,0,"43,186",
2002,22,15,Indiana,34.8%,33.9%,33.3%,"1,562,037","1,521,353","4,494,191","4,587,747",2.6%,"22,576",0,0,"22,576",
2002,31,16,Iowa,48.7%,47.9%,45.7%,"1,040,201","1,023,075","2,136,683","2,214,936",2.5%,"8,395","19,970","2,787","21,167",
2002,32,17,Kansas,44.9%,44.0%,41.4%,"851,966","835,692","1,897,261","2,007,407",4.1%,"9,009","15,217","3,990","20,608",
2002,51,18,Kentucky,,37.2%,36.4%,,"1,131,313","3,044,267","3,100,972",1.7%,"16,377","24,480","5,968","34,585",
2002,45,19,Louisiana,40.1%,39.4%,37.8%,"1,267,225","1,246,333","3,163,663","3,312,330",1.7%,"36,091","36,257","23,049","77,269",
2002,2,20,Maine,,50.8%,50.1%,,"505,190","995,056","1,001,796",1.6%,0,0,0,0,
2002,52,21,Maryland,46.8%,46.3%,41.6%,"1,721,626","1,704,560","3,678,346","4,082,694",6.9%,"24,186","81,982","13,271","78,448",
2002,3,22,Massachusetts,49.8%,49.2%,44.4%,"2,220,301","2,194,189","4,458,820","4,919,958",8.2%,"10,511",0,0,"10,511",
2002,23,23,Michigan,45.0%,44.5%,42.3%,"3,219,864","3,177,565","7,147,888","7,445,335",3.4%,"49,524",0,0,"49,524",
2002,33,24,Minnesota,,64.1%,59.7%,,"2,254,639","3,518,184","3,745,577",3.8%,"7,612","122,692","3,577","72,535",
2002,46,25,Mississippi,,30.1%,29.2%,,"615,609","2,047,426","2,099,698",1.1%,"20,542","16,633","1,816","30,675",
2002,34,26,Missouri,,45.6%,43.9%,,"1,877,620","4,116,889","4,262,146",1.9%,"30,649","54,584","13,533","71,474",
2002,64,27,Montana,49.7%,48.4%,47.7%,"340,272","331,321","684,572","690,652",1.0%,"3,440",0,0,"3,440",
2002,35,28,Nebraska,,39.9%,37.3%,,"480,991","1,204,512","1,285,024",3.8%,"4,103","16,468",574,"12,911",
2002,65,29,Nevada,36.8%,36.2%,31.1%,"512,433","504,079","1,391,100","1,640,679",12.7%,"10,527","12,290","3,971","20,643",
2002,4,30,New Hampshire,48.7%,48.1%,46.0%,"453,078","447,135","930,362","960,401",3.0%,"2,483",0,0,"2,483",
2002,12,31,New Jersey,38.9%,38.1%,32.6%,"2,161,105","2,112,604","5,549,726","6,448,445",11.5%,"28,213","134,290","12,576","107,934",
2002,66,32,New Mexico,40.0%,38.6%,35.7%,"502,230","484,229","1,255,086","1,360,130",7.0%,"6,173","16,287","1,962","16,279",
2002,13,33,New York,37.0%,36.1%,31.4%,"4,690,968","4,579,078","12,679,865","14,504,792",12.6%,"65,914",0,"55,990","121,904",
2002,47,34,North Carolina,,39.7%,37.2%,,"2,331,181","5,876,705","6,314,679",5.0%,"33,334","112,900","2,805","92,589",
2002,36,35,North Dakota,49.8%,48.5%,47.6%,"237,224","231,030","476,251","486,797",1.2%,"1,168",0,0,"1,168",
2002,24,36,Ohio,40.3%,38.8%,37.6%,"3,356,285","3,228,992","8,322,521","8,556,557",1.9%,"45,831",0,0,"45,831",
2002,53,37,Oklahoma,,41.2%,39.6%,,"1,035,620","2,513,143","2,610,016",3.3%,"23,004","29,881","3,573","41,518",
2002,72,38,Oregon,51.8%,50.8%,47.2%,"1,293,756","1,267,221","2,495,739","2,674,581",6.7%,"12,422",0,0,"12,422",
2002,14,39,Pennsylvania,,38.8%,37.3%,,"3,545,431","9,143,001","9,454,338",2.6%,"40,545",0,0,"40,545",
2002,5,40,Rhode Island,45.4%,44.7%,40.1%,"337,027","331,834","741,776","819,310",7.4%,"3,569","25,914",384,"16,910",
2002,48,41,South Carolina,,36.9%,35.6%,,"1,102,010","2,982,810","3,100,548",2.6%,"24,247","41,574","3,491","48,525",
2002,37,42,South Dakota,61.2%,60.7%,59.7%,"340,407","337,497","556,154","564,305",1.3%,"3,059",0,0,"3,059",
2002,54,43,Tennessee,,39.6%,37.3%,,"1,644,741","4,151,834","4,393,757",2.5%,"25,409","42,712","7,949","54,714",
2002,49,44,Texas,34.5%,34.2%,28.8%,"4,552,059","4,514,012","13,181,016","15,718,593",12.1%,"164,222","434,486","103,068","484,533",
2002,67,45,Utah,37.8%,37.0%,35.0%,"568,290","557,153","1,504,529","1,601,707",6.5%,"5,594",0,0,"5,594",
2002,6,46,Vermont,49.4%,48.8%,48.1%,"232,993","230,161","471,403","472,402",2.1%,0,0,0,0,
2002,40,47,Virginia,32.3%,29.0%,26.9%,"1,661,915","1,489,422","5,138,270","5,536,511",6.0%,"34,733","40,359","4,530","59,443",
2002,73,48,Washington,43.5%,41.8%,37.9%,"1,808,720","1,739,116","4,162,032","4,553,733",7.3%,"16,284","171,603",95,"102,181",
2002,56,49,West Virginia,31.5%,31.2%,30.8%,"440,156","436,183","1,398,124","1,413,580",0.6%,"4,703","6,430",999,"8,917",
2002,25,50,Wisconsin,,45.4%,43.2%,,"1,775,349","3,908,088","4,094,028",2.6%,"22,366","54,614","11,088","60,761",
2002,68,51,Wyoming,50.8%,50.1%,49.2%,"188,028","185,459","370,488","376,121",1.6%,"1,809","4,596",570,"4,677",
2000,0,0,United States,55.3%,54.2%,50.0%,"107,390,107","105,375,486","194,331,436","210,623,408",7.7%,"1,377,013","2,339,388","536,039","3,082,746","2,937,000"
2000,41,1,Alabama,,51.6%,50.1%,,"1,672,551","3,241,682","3,334,576",1.5%,"26,225","40,178","5,484","51,798",
2000,81,2,Alaska,68.7%,68.1%,65.0%,"287,825","285,560","419,111","440,296",3.4%,"4,173","4,779",525,"7,088",
2000,61,3,Arizona,46.4%,45.6%,40.2%,"1,559,520","1,532,016","3,357,701","3,816,498",10.3%,"26,510","59,810","3,474","59,889",
2000,42,4,Arkansas,,47.9%,46.0%,,"921,781","1,925,961","2,001,774",2.3%,"11,915","28,409","8,659","34,779",
2000,71,5,California,56.6%,55.7%,44.1%,"11,142,843","10,965,849","19,685,258","24,867,252",18.8%,"163,001",0,"117,647","280,648",
2000,62,6,Colorado,,57.5%,53.7%,,"1,741,368","3,026,316","3,246,521",6.7%,"16,833",0,"5,500","22,333",
2000,1,7,Connecticut,62.5%,61.9%,56.6%,"1,474,103","1,459,525","2,357,687","2,575,243",6.6%,"18,355","47,636","1,868","44,041",
2000,11,8,Delaware,,59.0%,54.9%,,"327,529","554,863","594,256",3.9%,"6,921","20,052",579,"17,526",
2000,55,9,District of Columbia,,48.3%,43.9%,,"201,355","416,696","458,301",10.2%,"7,456",0,0,"7,456",
2000,43,10,Florida,57.5%,55.9%,47.9%,"6,138,765","5,963,110","10,667,193","12,475,387",10.4%,"71,319","296,139","5,982","225,371",
2000,44,11,Georgia,47.6%,45.8%,42.4%,"2,684,951","2,583,208","5,639,668","6,087,332",5.9%,"44,232","321,407","21,556","226,492",
2000,82,12,Hawaii,44.6%,44.2%,39.9%,"371,113","367,951","832,642","923,737",8.1%,"5,053",0,0,"5,053",
2000,63,13,Idaho,58.9%,57.2%,53.5%,"516,647","501,615","877,406","935,443",3.8%,"5,535","35,103","1,409","24,496",
2000,21,14,Illinois,58.5%,56.2%,51.4%,"4,932,192","4,742,123","8,432,600","9,208,908",8.7%,"45,281",0,0,"45,281",
2000,22,15,Indiana,50.8%,49.3%,48.3%,"2,246,348","2,182,295","4,424,909","4,527,523",2.3%,"20,125",0,0,"20,125",
2000,31,16,Iowa,,63.2%,59.6%,,"1,315,563","2,082,950","2,199,529",2.4%,"7,955","21,147","2,763","21,292",
2000,32,17,Kansas,56.7%,55.6%,54.0%,"1,092,716","1,072,216","1,927,950","1,983,933",3.9%,"8,344",0,"3,829","12,173",
2000,51,18,Kentucky,53.1%,52.2%,50.4%,"1,568,058","1,544,107","2,955,628","3,059,582",1.5%,"14,919","19,620","4,614","29,343",
2000,45,19,Louisiana,56.7%,56.4%,54.2%,"1,776,133","1,765,656","3,130,267","3,260,060",1.6%,"35,207","35,854","22,860","75,994",
2000,2,20,Maine,,67.2%,66.4%,,"651,817","969,292","979,314",1.5%,0,0,0,0,
2000,52,21,Maryland,55.8%,55.5%,51.0%,"2,036,455","2,025,480","3,649,631","3,972,224",6.4%,"23,538","81,523","13,666","77,966",
